////////////////////////////////////
//////                         ////
/////  Meson RAA (Fig. 5, 6)  ////
////                         ////
////////////////////////////////


Table 3.1.1. pi0 meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
        13  2.094967e-01         1.727896e-02   3.040546e-02   3.320679e-02  
        15  2.639894e-01         3.950898e-02   4.261926e-02   4.184429e-02  
20-40%
      1.25  3.747639e-01         6.675464e-03   3.951583e-02   6.103455e-02  
      1.75  3.923978e-01         5.054673e-03   3.729084e-02   6.390643e-02  
      2.25  3.731352e-01         4.233759e-03   3.653565e-02   6.076930e-02  
      2.75  3.604779e-01         4.104649e-03   3.689574e-02   5.870791e-02  
      3.25  3.352248e-01         4.093629e-03   3.576260e-02   5.459516e-02  
      3.75  3.158267e-01         4.450252e-03   3.501810e-02   5.143596e-02  
      4.25  3.077608e-01         3.940263e-03   3.648044e-02   5.012233e-02  
      4.75  2.989973e-01         4.463757e-03   3.623287e-02   4.869510e-02  
      5.25  2.939251e-01         5.047423e-03   3.620011e-02   4.786903e-02  
      5.75  2.819556e-01         5.773740e-03   3.492057e-02   4.591966e-02  
      6.25  3.008176e-01         7.076385e-03   3.740751e-02   4.899155e-02  
      6.75  2.861502e-01         8.378036e-03   3.575674e-02   4.660280e-02  
      7.25  2.906418e-01         9.598463e-03   3.656348e-02   4.733431e-02  
      7.75  2.835743e-01         1.140294e-02   3.578635e-02   4.618329e-02  
      8.25  2.877752e-01         1.408873e-02   3.654227e-02   4.686745e-02  
      8.75  2.750371e-01         1.640026e-02   3.540933e-02   4.479291e-02  
      9.25  2.949578e-01         1.966329e-02   3.812085e-02   4.803722e-02  
      9.75  3.280215e-01         2.648513e-02   4.309087e-02   5.342202e-02  
        11  2.877444e-01         1.630161e-02   3.838636e-02   4.686244e-02  
        13  2.553647e-01         2.751624e-02   3.757486e-02   4.158903e-02  
40-60%
      1.25  4.216878e-01         7.671281e-03   4.508498e-02   7.284717e-02  
      1.75  4.390971e-01         5.947694e-03   4.222772e-02   7.585465e-02  
      2.25  4.437222e-01         5.165727e-03   4.356620e-02   7.665364e-02  
      2.75  4.414363e-01         4.984295e-03   4.506624e-02   7.625875e-02  
      3.25  4.248260e-01         5.069515e-03   4.501648e-02   7.338930e-02  
      3.75  4.160481e-01         5.707122e-03   4.565600e-02   7.187290e-02  
      4.25  4.199116e-01         5.241700e-03   4.914708e-02   7.254033e-02  
      4.75  4.176856e-01         6.168651e-03   4.984344e-02   7.215578e-02  
      5.25  4.141721e-01         7.245291e-03   5.012192e-02   7.154882e-02  
      5.75  4.058950e-01         8.971061e-03   4.943036e-02   7.011894e-02  
      6.25  4.227166e-01         1.133974e-02   5.164760e-02   7.302490e-02  
      6.75  4.221506e-01         1.435448e-02   5.183855e-02   7.292712e-02  
      7.25  4.317905e-01         1.744600e-02   5.332220e-02   7.459243e-02  
      7.75  4.138839e-01         2.136713e-02   5.128226e-02   7.149904e-02  
      8.25  4.161429e-01         2.558332e-02   5.191080e-02   7.188928e-02  
      8.75  4.454701e-01         3.185956e-02   5.616490e-02   7.695560e-02  
60-80%
      1.25  4.615430e-01         7.857214e-03   4.920081e-02   1.144550e-01  
      1.75  4.915378e-01         6.427032e-03   4.708612e-02   1.218932e-01  
      2.25  4.921735e-01         5.780375e-03   4.830852e-02   1.220508e-01  
      2.75  5.207674e-01         6.030411e-03   5.316478e-02   1.291416e-01  
      3.25  5.253929e-01         6.793055e-03   5.567770e-02   1.302887e-01  
      3.75  5.274316e-01         8.356631e-03   5.788371e-02   1.307942e-01  
      4.25  5.489564e-01         9.166676e-03   6.426879e-02   1.361320e-01  
      4.75  5.327345e-01         1.144629e-02   6.365970e-02   1.321093e-01  
      5.25  5.395310e-01         1.531745e-02   6.539763e-02   1.337947e-01  
      5.75  5.282039e-01         1.945682e-02   6.451911e-02   1.309857e-01  
      6.25  5.112725e-01         2.529634e-02   6.282154e-02   1.267870e-01  
